" ","Mean/Count (SD/%)"
"   500 Mbps","5 (0.7%)"
"   N/A","2 (0.3%)"
"   NA","211 (30.3%)"
"rus_infrastructure$PCT_HISPEE"," "
"   10%","5 (0.7%)"
"   100%","171 (24.6%)"
"   12%","2 (0.3%)"
"   14%","6 (0.9%)"
"   15%","5 (0.7%)"
"   16%","3 (0.4%)"
"   17%","15 (2.2%)"
"   18%","1 (0.1%)"
"   20%","1 (0.1%)"
"   21%","4 (0.6%)"
"   23%","3 (0.4%)"
"   28%","3 (0.4%)"
"   30%","4 (0.6%)"
"   31%","2 (0.3%)"
"   34%","2 (0.3%)"
"   35%","3 (0.4%)"
"   36%","2 (0.3%)"
"   37%","56 (8%)"
"   38%","3 (0.4%)"
"   39%","3 (0.4%)"
"   40%","3 (0.4%)"
"   41%","3 (0.4%)"
"   42%","2 (0.3%)"
"   43%","1 (0.1%)"
"   44%","40 (5.7%)"
"   45%","18 (2.6%)"
"   46%","1 (0.1%)"
"   48%","1 (0.1%)"
"   49%","1 (0.1%)"
"   50%","2 (0.3%)"
"   51%","1 (0.1%)"
"   52%","1 (0.1%)"
"   53%","1 (0.1%)"
"   54%","4 (0.6%)"
"   55%","2 (0.3%)"
"   56%","1 (0.1%)"
"   58%","2 (0.3%)"
"   59%","4 (0.6%)"
"   60%","3 (0.4%)"
"   61%","1 (0.1%)"
"   62%","3 (0.4%)"
"   63%","2 (0.3%)"
"   64%","1 (0.1%)"
"   66%","3 (0.4%)"
"   67%","1 (0.1%)"
"   68%","1 (0.1%)"
"   7%","1 (0.1%)"
"   70%","7 (1%)"
"   71%","31 (4.5%)"
"   72%","2 (0.3%)"
"   73%","1 (0.1%)"
"   74%","2 (0.3%)"
"   76%","1 (0.1%)"
"   77%","7 (1%)"
"   78%","1 (0.1%)"
"   79%","2 (0.3%)"
"   80%","2 (0.3%)"
"   84%","1 (0.1%)"
"   86%","1 (0.1%)"
"   87%","2 (0.3%)"
"   88%","3 (0.4%)"
"   89%","2 (0.3%)"
"   90%","5 (0.7%)"
"   91%","1 (0.1%)"
"   92%","2 (0.3%)"
"   95%","1 (0.1%)"
"   96%","1 (0.1%)"
"   98%","6 (0.9%)"
"   N/A","6 (0.9%)"
"   NA","211 (30.3%)"
