city,coverage,providernum,state,speed12,speed11,speed10,speed9,speed8,speed7,speed6,speed5,speed4,speed3,speed2,speed1
clewiston,75.3,8,florida,87.5,85.41,118.56,113.71,234.94,287.34,252.73,231.7,193.18,172.26,238.92,136.63
cocoa,100,15,florida,73.33,66.37,68.81,73.2,50.46,49.24,78.35,84.13,83.66,80.63,82.55,80.41
cocoa-beach,100,13,florida,66.6,51.67,74.2,64.62,59.59,62.71,79.27,81.67,67.24,54.67,73.11,69.47
crawfordville,95.9,10,florida,64.6,67.98,80.33,47.88,73.69,45.65,67.68,50.45,88.18,62.16,152.75,97.96
crestview,95.1,12,florida,90.16,79.83,60.35,81.53,81.55,92.31,89.68,94.23,84.99,76.36,82.5,75.92
crystal-river,89.7,12,florida,67.97,81.38,41.64,69.78,61.5,78.68,75.91,98.94,28.24,74.58,90.05,87.66
dade-city,89.9,14,florida,73.52,89.93,59.41,76.73,92.91,112.85,107.09,100.9,97.99,23.37,42.9,53.26
dania,99.2,11,florida,82.16,71.58,98.95,111.97,84.22,91.2,66.18,291.15,133.87,104.81,144.88,166.45
davenport,99.2,17,florida,95.59,97.67,97.2,102.07,101.23,95.14,83.43,93.84,139.68,95.37,105.97,96.61
daytona-beach,100,20,florida,68.59,75.11,76.61,86.14,79.51,94.69,97.46,58.86,49.82,95.87,96.33,107.26
debary,99.6,15,florida,62.47,76.81,68.21,96.91,60.2,41.39,69.6,70.01,93.05,136.78,150.72,98.98
deerfield-beach,99.9,17,florida,85.17,102.66,111.55,112.17,112.28,119.26,149.04,111.27,160.25,159.06,161.02,223.04
defuniak-springs,67.7,13,florida,52.71,61.57,70.39,66.55,57.6,77.07,60.32,54.67,82.84,82.5,76.54,85.72
deland,97.6,13,florida,67.29,83.83,79.4,96.56,85.09,74.63,74.85,84.84,78,82.62,77.16,80.81
delray-beach,98.2,19,florida,99.34,115.06,113.81,162.19,160.19,156.09,151.85,155.33,157.06,164.66,237.68,181.45
deltona,100,14,florida,70.01,72.63,72.67,89,90.48,145.7,124.75,103.84,101.03,78.82,80.76,74.58
destin,97.4,18,florida,48.07,49.36,45.61,58.08,48.39,65.51,75.54,73.25,61.12,61.82,56.72,72.32
dover,100,11,florida,95.03,66.38,78.11,128.21,102.14,101.52,64.54,87.96,86.79,51.59,55.16,61.89
dunedin,100,14,florida,90.1,89.73,89.29,96.63,100.57,100.66,100.69,97.31,97.74,82.47,98.76,98.22
dunnellon,83.4,16,florida,58.1,66.73,53.48,65.21,51.06,64.01,85.56,113.72,64.35,79.96,79.29,68.09
edgewater,99.5,11,florida,74.61,64.98,67.99,77.43,111.87,236.41,64.25,67.34,69.96,67.64,83.22,72.07
englewood,99.1,13,florida,71.65,74.39,83.33,72.27,77.25,80.87,80.33,78.63,80.85,121.08,129.08,140.05
estero,99.2,12,florida,83.51,83.46,109.27,169.26,170.81,170.99,167.78,170.42,171.26,171,170.83,170.63
eustis,97.8,13,florida,55.58,72.85,70.78,65.76,98.2,97.67,95.76,94.22,67.55,80.33,70.77,70.06
fernandina-beach,98,10,florida,62.71,60.23,84.89,88.39,94.36,95.58,106.08,87.42,98.72,92.5,129.37,95.29
fleming-island,97.3,13,florida,79.11,84.52,89.88,88.65,101.86,103.3,95.92,62.94,61.93,115,112.76,115.34
fort-lauderdale,99,24,florida,85.55,87.6,108.86,112.08,112.46,122.94,135.09,143.45,148.54,154.81,154.39,153.03
fort-myers,96.8,19,florida,71.82,75.79,88.16,92.96,102.73,92.36,67.83,101.28,138.47,137.9,138.24,137.38
fort-pierce,94.7,17,florida,64.89,67.83,84.51,86.16,92.4,192.17,450.66,379.21,353.35,472.43,472.24,435.84
fort-walton-beach,98.6,17,florida,47.51,50.73,67.55,53.5,57.59,82.19,85.55,85.94,55.27,67.4,75.53,65.49
gainesville,88.5,17,florida,36.61,35.6,44.28,46.29,60.73,62.45,70.91,64.48,65.65,60.76,57.39,55.52
gibsonton,100,10,florida,79.18,86.03,93.81,79.86,98.97,119.81,134.45,135.32,161.08,105.05,75.12,95.12
green-cove-springs,95.4,12,florida,114.57,101.69,77.21,106.73,123.87,69.86,78.27,72.47,104.39,110.87,50.14,73.22
groveland,87.9,15,florida,51.77,43.99,38.51,31.2,67.98,63.34,68.29,65,38.3,70.65,72.13,120.27
gulf-breeze,99.3,17,florida,45.85,65.35,62.19,56.95,59.94,71.28,69.91,71.11,71.94,76.08,72.98,54.98
haines-city,99.8,12,florida,90.33,72.77,75.88,89.76,89.1,89.3,94.99,63.44,75.92,143.63,98.83,118.36
hallandale,99,17,florida,80.6,83.09,72.1,95.94,89.87,87.89,91.15,103.55,123.1,113.13,119.6,138.73
hernando,99.2,12,florida,68.18,67.85,86.12,95.36,100.61,101.8,101.38,102.47,81.08,71.78,67.53,78.32
hialeah,97.8,16,florida,81.83,85.82,93.67,108.24,135.57,112.25,80.76,104.97,135.96,151.84,148.49,150.29
hobe-sound,98.8,13,florida,65.58,48.23,65.7,44.27,64.56,71.61,75.85,73.94,75.8,80.69,73.79,81.88
holiday,100,11,florida,85.2,90.25,89.75,97.55,96.28,97.65,90.93,78.49,92.55,72.3,95.5,124.98
hollywood,98.7,20,florida,94.5,103.89,109.33,112,106.93,106.07,105.52,111.62,149.86,148.42,158.93,158.15
homestead,94.5,13,florida,115.94,106.23,108.98,122.78,192.02,201.15,189.17,172.41,174.11,237.16,196.66,149.02
homosassa,99.8,10,florida,67.23,72.23,74.25,80.07,148,134.7,98.57,96.29,78.85,94.07,86.53,77.53
hudson,100,14,florida,96.23,100.5,92.06,89.63,96.42,92.56,73.96,97.09,97.86,94,93.17,90.33
immokalee,92.6,10,florida,73.31,71.92,87.25,61.45,68.45,140.78,138.2,134.24,128.35,55.65,61.87,117.21
indialantic,100,13,florida,63.42,80.73,60.79,76.29,79.4,72.72,73.52,74.18,61.81,49.58,74.2,69.86
inverness,99.2,12,florida,75.9,81.27,74.66,82.89,87.95,67.19,34.14,36.1,49.25,78.92,86.76,96.68
jacksonville,97.9,29,florida,73.91,76.02,85.54,92.71,101.69,101.39,89.79,100.28,106.16,102.09,103.09,98.01
jacksonville-beach,100,13,florida,80.17,80.99,103.27,104.23,103.42,104.36,106.72,107.11,138.08,105.71,112.33,118.99
jensen-beach,98.2,15,florida,80.64,82.87,90,75.66,84.15,102.6,46.04,79.55,145.87,140.14,136.79,115.68
jupiter,98.9,19,florida,84.2,104.72,106.82,113.48,111.15,114.15,128.59,127.4,131.86,150.85,165.49,168.03
key-biscayne,96.5,12,florida,54.54,71.27,70.2,80.44,64.3,103.36,65.38,113.23,169.18,168.02,167.39,168.36
key-west,94.6,9,florida,107.92,111.43,110.36,116.66,109.58,111.41,104.44,115.18,123.54,149.09,385.18,388.06
keystone-heights,72.9,11,florida,52.51,61.69,101.36,62,54.09,97.84,78.39,100.89,106,80.66,34.91,65.48
kissimmee,99.9,20,florida,71.58,70.81,79,78.37,85.86,82.96,76.81,81.02,90.47,64.66,68.35,93.26
labelle,87,9,florida,62.26,69.25,65.36,68.23,62.23,63.14,80.62,104.64,143.84,113.17,145.32,64.05
lady-lake,98.5,13,florida,47.52,47.65,46.05,222.72,42.63,58.72,28.73,36.02,47.02,33.59,48.27,55.56
lake-city,83.1,12,florida,67.96,67.98,43.68,67.68,61.78,36.39,54.87,35.85,48.19,53.75,65.21,67.29
lake-mary,100,17,florida,106.81,97.63,102.22,112.09,120.33,97.87,98.59,23.47,76.35,141.02,113.15,113.51
lake-placid,93.5,11,florida,48.23,76.92,64.07,85.68,54.05,74.68,66.67,18.14,17.9,99.05,63.66,40.54
lake-wales,91.6,12,florida,47.42,52.44,54.62,53.87,58.01,84.78,56.4,87.88,98.39,54.86,63.71,59.58
lake-worth,99.3,18,florida,93.7,85.02,99.71,106.64,114.46,114.8,109.57,76.12,166,142.58,136.06,126.83
lakeland,99.7,15,florida,75.6,77.31,83.62,82.42,97.48,97.63,108.04,92.21,92.67,81.02,85.22,92.57
land-o-lakes,99.7,13,florida,95.55,95.19,87.42,96.53,98.12,96.46,98.03,97.3,87.96,110.47,118.72,109.6
largo,99.8,15,florida,120.67,99.71,81,90.18,92.63,190.43,95.09,45.86,28.95,51.14,65.87,66.46
leesburg,96.2,17,florida,65.88,76.68,92.45,108.21,116.59,113.21,93.07,99.14,97.6,119,135.46,126.82
lehigh-acres,85.5,12,florida,58.47,60.73,66.27,63.34,60.17,50.13,46.14,90.82,99.15,80.66,102.02,87.06
lithia,82.1,13,florida,76.06,84.28,97.89,91.48,92.89,96.66,95.78,97.08,92.83,98.08,81.12,3.1
live-oak,88.4,10,florida,15.37,20.82,16.11,19.98,20.4,19.61,24.84,24.59,23.96,21.24,31.84,23.83
longwood,100,16,florida,65.29,80.94,70.53,72.94,78.16,67.68,67.44,71.6,101.5,85.57,82.38,78.08
loxahatchee,98.8,12,florida,81.81,81.51,104.71,108.91,84.25,39.07,42.07,109.87,111.1,159.97,164.71,164.07
lutz,100,14,florida,89.49,80.81,89.17,93.59,100.07,113.42,92.66,87.2,87.51,75.83,112.37,100.64
lynn-haven,99.9,10,florida,66.13,33.26,75.77,81.7,96.28,92.7,91.85,91.9,106.39,87.19,94.13,74.31
macclenny,93.4,11,florida,64.19,61.9,85.96,62.43,90.65,72.28,104.21,36.29,77.15,125.74,86.52,133.68
maitland,100,15,florida,74.03,69.49,77.85,105.95,105.87,125.71,96.77,102.26,94.36,168.44,139.15,129
marco-island,99.6,10,florida,64.79,83.11,82.93,92.99,88.19,73.8,106.91,106.77,106.82,137.3,131.21,106.98
marianna,71.4,12,florida,47.09,81.26,109.21,110.05,110.28,110.4,110.57,110.64,110.66,110.73,164.57,163.48
melbourne,99.9,17,florida,68.03,70.19,77.06,79.37,55.76,76.85,118.86,59.52,54.5,62.43,57.02,93.64
merritt-island,100,15,florida,66.32,58.92,71.85,69.25,55.77,46.26,66.19,70.03,57.86,69.65,88.91,80.91
miami,97.3,32,florida,90.99,93.68,102.38,110.63,110.88,110.19,105.12,162.5,133.94,149.3,157.71,163.28
miami-beach,99.8,21,florida,134,125.67,134.58,139.61,135.88,151.44,138.4,133.99,152.09,191.01,197.22,200.53
miami-gardens,98.7,13,florida,167.55,88.64,104.28,31.53,68.78,116.48,99.81,59.86,73.82,313.17,199.77,206.88
middleburg,99.2,11,florida,83.48,71.5,99.46,86.3,92.01,44.69,38.43,35.11,96.5,86.35,88.61,102.06
milton,93.5,13,florida,65.89,69.06,112.22,83.81,203.76,154.76,127.42,71.24,195.71,99.91,94.85,78.36
monticello,48,11,florida,44.91,16.66,7.88,12.57,10.97,19.18,8.98,36.83,43.59,10.7,10.5,9.82
mount-dora,99.3,16,florida,80.59,71.43,78.7,78.29,91.57,88.24,90.12,95.76,78.76,81.77,87.6,88.65
mulberry,93.8,14,florida,67.43,61.75,93.07,71.13,93.58,102.48,184.67,102.25,96.07,49.84,52.03,50.71
naples,98.5,19,florida,87.1,103.87,110.19,112.62,111.62,109.37,100.43,114.82,161.4,161.61,164.19,162.37
navarre,100,14,florida,66.06,60.63,67.27,79.75,85.01,83.01,48.95,80.17,70,105.63,98.85,79.65
new-port-richey,100,15,florida,78.8,85.56,90.88,91.77,99.26,98.21,101.73,99.95,98.4,95.2,106.11,94.35
new-smyrna-beach,99.9,13,florida,61.34,73.38,68.69,78.61,92.77,85.05,85.95,69.72,68.9,73.59,69.5,64.5
niceville,98.6,13,florida,62.29,53.46,71.18,67.18,84.39,73.55,73.83,77.09,88.23,91.81,90.5,80.32
nokomis,98.3,10,florida,81.18,56.52,78.35,140.96,98.12,88.57,80.3,85.83,128.01,140.15,137.84,142.5
north-fort-myers,97.1,13,florida,71.16,65.84,66.69,51.51,58.76,79,77.5,76.75,67.83,103.94,79,82.82
north-miami-beach,92.6,18,florida,378.11,370.46,372.13,367.07,353.41,376.94,358.46,349.64,366.22,351.46,350.56,337.58
north-palm-beach,99.5,15,florida,29.84,77.28,82.35,85.14,77.45,248.63,109.71,91.51,123.47,285.98,297.31,211.12
north-port,98.2,10,florida,77.78,162.5,131.31,271.87,106.53,108.87,109.55,148.81,214.64,295.31,296.59,294.09
ocala,94.6,23,florida,61.88,61.59,69.01,72.37,66.85,75.33,71.98,72.87,72.97,78.75,74.9,72.96
ocoee,100,19,florida,74.77,83.28,88.63,98.02,102.98,83.27,81.97,35.04,18.54,105.81,100.61,104.82
odessa,100,12,florida,80.22,80.93,82.6,81.41,82.8,82.9,90.44,94.91,82.98,82.52,81.29,89.84
okeechobee,86,13,florida,54.56,58.29,77.17,68.95,82.44,93.67,100.05,110.75,111.46,93.31,109.05,92.29
oldsmar,100,14,florida,94.14,128.02,97.16,85.09,146.13,145.53,166.8,94.62,94.59,94.82,111.63,85.2
opa-locka,99,14,florida,52.35,49.35,49.4,56.79,70.44,100.17,58.91,79.92,115.6,111.13,86.76,129.44
orange-city,99.9,16,florida,78.46,72.32,85.36,101.43,77.74,66.8,101.32,95.43,79.85,99.14,81.67,83.04
orange-park,98.7,14,florida,75.82,84.16,101.78,92.83,86,86.65,95.26,96.99,105.27,171.14,187.07,175.81
orlando,99.7,34,florida,76.14,74.6,77.32,86.22,93.58,94.71,88.61,89.8,91.42,92.77,88.33,86.01
ormond-beach,99.9,14,florida,70.81,65.21,62.71,81.59,87.3,87.18,77.15,79.52,75.83,90.27,87.37,84.94
oviedo,99.7,17,florida,72.87,71.79,97.68,123.13,175.2,152.2,125.26,85.18,85.34,81.04,78.04,88.82
palatka,93.5,13,florida,60.95,65.31,65.63,76.29,86.43,90.79,92.62,98.15,96.44,87.92,88.16,88.22
palm-bay,99.9,15,florida,72.54,63.86,67.85,83.66,82.26,65.72,55.85,83.11,108.69,75.16,82.56,81.77
palm-beach-gardens,98,17,florida,94.53,102.02,107.62,112.4,108.89,106.26,102.22,99.54,88.77,123.57,150.03,145.89
palm-city,98.7,15,florida,83.71,82.75,98.9,79.2,79.81,105.12,110.12,112.72,119.38,132.96,148.71,147.3
palm-coast,100,11,florida,72.77,65.67,67.76,80.86,88.15,86,87.92,87.24,80.86,77.13,80.83,86.3
palm-harbor,100,16,florida,93.65,87.13,84.08,91.17,85.71,97.26,101.36,98.06,101.85,130.11,131.85,97.46
palmetto,99.9,9,florida,85.01,75.83,70.99,89.6,63.43,59.84,59.8,119.67,147.38,91.99,90.53,96.08
panama-city,98.6,16,florida,75.57,62.41,76.52,81.66,77.14,85.34,71.03,77.3,81.95,93.45,108.4,114.63
panama-city-beach,97.9,15,florida,59.39,60.4,66.7,83.81,69.31,94.58,151.59,146.59,146.66,121.15,89.78,67.17
parrish,94.7,10,florida,78.26,81.27,81.1,94.95,100.16,94.97,80.45,77.88,74.99,91.23,80.1,97.73
pembroke-pines,100,17,florida,94.81,170.04,170.22,170.01,170.55,170.48,169.99,168.71,166,170.24,187.64,126.97
pensacola,98.4,20,florida,67.76,73.59,79.25,80.42,78.08,78.04,74.97,78.71,82.88,81.96,95.18,81.03
perry,71.9,9,florida,25.11,18.18,36.76,43.35,54.14,19.2,21.38,50.34,49.73,47.19,36.69,19.79
pinellas-park,100,13,florida,84.56,80.48,86.48,89.61,98.03,68.88,107,104.81,103.16,104.11,99.27,95.38
plant-city,98.8,16,florida,83.57,79.66,85.55,94.77,98.28,98.44,98.52,97.47,97.23,82.52,86.28,79.2
pompano-beach,98.9,24,florida,88.97,95.9,107.95,109.57,109.3,145.06,122.17,100.09,96.05,122.8,134.32,153.08
ponte-vedra-beach,99.6,14,florida,64.23,56.94,67.18,78.15,98.19,89.65,91.12,94.42,78.32,145.21,147.5,147.52
port-charlotte,97.2,15,florida,79.76,80.95,84.43,82.81,98.99,101.22,102.97,97.02,93.59,130.18,121.14,123.55
port-orange,100,15,florida,69.93,69.15,88.41,94.48,98.44,98.11,66.3,81.74,98.35,99.79,88.91,49.52
port-richey,100,14,florida,72.37,74.29,88.89,95.71,98.26,106.82,204.31,119.2,144.32,99.01,89.51,98.49
port-saint-lucie,98.7,19,florida,79.98,84.29,90.93,94.06,94.44,144.88,99.76,107.88,108.94,46.1,90.32,100.22
punta-gorda,96.1,14,florida,67.58,76.3,72.9,105.17,79.75,88.38,92.32,95.84,81.92,144.08,151.86,162.5
quincy,85.3,12,florida,48.06,70.3,33.53,21.75,32.57,59.72,32.62,49.22,42.67,21.1,21.17,26.25
riverview,99.6,17,florida,89.09,95.52,95.54,95.2,97.02,98.41,100.48,98.89,92.91,97.4,104.26,113.05
rockledge,100,13,florida,71.54,72.01,73.95,78.43,79.31,75.21,78.03,69.2,66.19,29.75,74.81,92.32
ruskin,100,9,florida,95.8,94.37,92.03,94.23,90.14,90.33,93.29,91.83,63.78,96.24,179.63,105.31
safety-harbor,100,12,florida,100.36,93.66,108.25,116.94,143.43,171.5,146.39,158.9,104.35,91.66,123.43,147.11
saint-augustine,99.2,18,florida,74.97,94.77,84.37,91.77,135.93,82.73,93.25,134.93,132.29,137.95,122.05,101.76
saint-cloud,97.6,15,florida,79.93,76.76,91.64,101.45,85.19,102.4,102.93,104.27,100.92,83.59,83.73,82.68
saint-johns,99.5,13,florida,82.74,93.76,95.59,102.7,124.56,90.87,82.13,75.22,138.53,109.87,86.82,113.62
saint-petersburg,99.9,16,florida,100.55,98.97,87.69,102.05,99.87,103.55,101.72,98.04,98.02,97.38,97.46,103.8
sanford,99.9,16,florida,85.88,79.21,80.08,83.23,140.88,137.29,118.66,62.72,99.79,122.14,139.35,104.6
sarasota,98.4,20,florida,83.15,83.82,89.3,98.1,102.5,108.65,84.69,98.31,81.3,122.61,135.24,138.5
satellite-beach,100,12,florida,65.81,67.13,73.75,76.85,83.14,73.97,75.45,84.46,92.64,94.49,93.21,89.34
sebastian,99.4,12,florida,67.31,76.02,86.64,87.96,83.26,59.41,151.01,145.27,168.64,268.55,117.5,91.38
sebring,94.2,15,florida,64.99,67.83,79.29,73.07,66.93,60.17,27.62,44.95,66.97,96.24,96.35,96.4
seffner,100,13,florida,93.45,100.84,100.12,104.17,103.74,105.28,123.25,106.65,104.81,74.17,78.56,80.62
seminole,100,15,florida,83.37,84.7,81.69,88.94,100.8,98.75,95.84,93.42,98.48,98.37,101.88,121.02
spring-hill,99.9,13,florida,80.31,90.82,78.09,85.39,95.77,83.75,82.65,79.76,72.88,85.82,84.45,99.91
starke,24.6,13,florida,45.15,33.23,18.54,35.85,44.72,27.31,57.13,25.82,19.08,25.91,24.22,18.96
stuart,98.2,17,florida,106.8,128.69,86.96,56.44,132.46,300.26,268.82,197.77,133.02,90.54,120.36,134.79
summerfield,96.5,12,florida,42.52,32.92,36.56,38.23,60.32,40.58,78.32,81.21,80.91,27.66,37.33,38
sun-city-center,100,12,florida,78.74,86.66,147.94,148.56,78.44,74.2,87.03,107.02,232.56,269.45,258.5,215.38
tallahassee,95.4,19,florida,67.13,68.97,77.93,76.72,100.05,100.24,98.36,99.51,133.69,78.23,89.66,80.61
tampa,100,22,florida,87,90.79,93.47,96.49,100.7,106.02,95.34,92.57,92.55,88.43,82.44,80.76
tarpon-springs,100,13,florida,74.38,69.25,84.63,82.79,97.13,95.51,71.24,57.19,54.78,92.21,95.84,89.99
tavares,98.9,15,florida,45.23,37.84,36.43,42.68,67.63,50.44,49.26,63.39,75.19,76.93,69.2,66.88
the-villages,99.5,15,florida,78.81,80.17,90.07,92.52,99.84,86.63,53.11,104.58,115.34,99.07,101.87,104.19
titusville,99.9,13,florida,81.74,68.95,68.76,70.28,80.57,66.81,67.14,95.82,66.55,73.41,86.79,69.42
valrico,100,12,florida,85.06,91.97,124.96,141.37,100.47,106.91,105.73,105.2,104.06,94.27,102.43,80.95
venice,98.2,13,florida,82.47,67.71,78.79,74.95,103.16,98.6,88.16,67.52,56.03,98.58,117.08,141.04
vero-beach,95.7,13,florida,71.3,79.96,98.2,96.09,86.09,95.21,101.64,104.87,116.24,138.05,116.63,126.97
wauchula,91.3,11,florida,22.31,23.23,26.08,26.6,61.18,12.6,10.24,10.25,9.79,27.28,27.26,43.08
wellington,99.8,15,florida,80.4,85.76,97.69,105.36,113.55,114.38,106.52,107.54,103.8,129.67,131.74,104.29
wesley-chapel,99.8,15,florida,104.47,100.3,95.15,102.52,146.63,147.38,143.48,117.58,115.23,95.78,89.87,95.73
west-palm-beach,97.3,24,florida,69.22,78.72,87.73,90.65,101.55,98.66,100.36,92.04,91.55,76.35,92.17,96.56
wildwood,98.2,11,florida,70.68,73.72,56.24,69.73,84.93,73.41,82.96,103.78,74.33,86.91,104.19,93.72
wimauma,94.7,11,florida,60.73,62.8,77.09,94.11,101.3,93.72,89.33,103.27,101.13,94.78,50.46,65.06
windermere,100,16,florida,69.82,73.66,81.11,81.83,87.06,80.79,81.9,94.86,112.68,79.4,77.34,86.87
winter-garden,99.9,15,florida,72.53,71.18,84.5,91.46,104.34,106.42,94.1,92.59,93.16,81.52,86.11,83.23
winter-haven,100,12,florida,80.13,89.43,94.68,95.85,86.57,77.47,97.2,97.41,146.63,88.88,84.21,85.14
winter-park,100,16,florida,95.4,95.24,95.67,99.38,91.46,82.65,80.77,109.4,106.1,94.94,99.8,94.8
winter-springs,100,13,florida,72.56,82.6,73.06,85.33,96.95,100.67,69.17,91.47,96.57,77.71,77.79,82.15
yulee,91.7,10,florida,77.78,79.95,95.13,105.61,74.38,97.18,86.37,154.74,92.99,110.25,128.35,110.87
zephyrhills,97.7,11,florida,92.64,79.92,78.56,86.38,98.44,98.55,98.51,83.87,94.84,65.04,82.58,80.84
acworth,98.7,17,georgia,85.88,93.84,109.47,97.23,187.88,155.7,86.25,103.73,103.19,118.15,126.61,117.22
adairsville,94.5,11,georgia,30.21,79.5,51.42,33.28,33.41,40.66,29.73,44.15,27.95,18.06,28.05,22.24
adel,85.9,8,georgia,71.21,26.03,16.5,17.59,28.43,78.01,402.1,28.98,30.64,40.15,25.41,55.47
albany,97.3,14,georgia,64.4,57.86,66.57,69.61,57.32,63.93,64.43,115.84,144.63,145.64,112.31,111.83
alma,72.4,6,georgia,23.33,23.67,23.69,24,24.12,23.25,23.74,25.88,39.7,5.1,4.88,4.87
alpharetta,99.1,26,georgia,108.22,117.93,133.6,118.29,108.9,82.98,92.41,93.51,146.3,164.85,165.45,171.95
alto,69.5,10,georgia,16.5,21.37,14.96,17.21,16.81,19.95,21.11,12.89,10.51,18.35,23.95,13.29
americus,82.6,15,georgia,77.53,78.75,84.77,84.12,72.5,73.99,73.73,70.93,68.87,66.9,66.87,67
athens,99.4,20,georgia,69.06,61.4,62.11,79.19,98.92,105.38,104.47,81.75,102.83,119.18,115.44,121.6
atlanta,97.4,44,georgia,82.31,77.75,82.31,87.63,88.66,90.98,90.33,114.59,100.62,114.6,99.38,109.41
auburn,99.7,11,georgia,80.92,71.65,84.95,99.97,80.15,77.6,109.09,74.93,84.72,45.91,70.99,66.62
augusta,95.4,20,georgia,72.35,67,73.07,88.73,77.21,85.3,80.98,83,76.82,84.21,90.57,91.86
austell,97,20,georgia,63.64,77.07,63.3,53.05,14.22,14.29,13.94,14.64,14.61,14.6,79.78,79.03
bainbridge,80,9,georgia,61.08,60.63,53.07,75.72,71.14,68.52,81.66,84.77,72.84,73.76,83.33,81.05
ball-ground,91.8,12,georgia,33.96,23.43,31.55,37.18,43.61,34.74,44.24,38.34,20.44,25.64,38.65,25.75
barnesville,73.5,12,georgia,40.82,13.36,35.99,53.27,31.12,11.61,60.82,67.7,61.1,100.64,72.78,76.74
baxley,52.7,6,georgia,21.47,43.41,13.73,49.23,5.73,47.2,19.37,15.45,19.73,22.55,22.09,24.06
bethlehem,99.8,9,georgia,101.31,102.33,101.93,106.8,105.91,108.34,108.3,104.94,106.46,106.83,105.81,105.93
blackshear,81.7,8,georgia,45.55,33.82,45.28,46.78,37.23,24.28,24.23,24.11,24.08,35.47,43.08,36.75
blairsville,90.8,8,georgia,28,27.61,32.19,36.58,38.66,19.91,19.51,19.6,19.6,34.46,39.79,45.56
blakely,37.2,6,georgia,20.22,47.9,142.16,34.25,153.68,16.37,20.52,20.49,25.24,62.11,39.85,19.92
blue-ridge,89.7,8,georgia,55.9,55.72,57.86,58.3,57.73,57.4,28.36,38.16,40.13,47.06,56.66,56.66
bogart,97.1,16,georgia,47.38,48.59,66.36,61.37,65.25,73.2,60.35,72.31,85.63,78.43,63.46,53.4
bonaire,99,12,georgia,101.36,113.02,113.42,82.41,115.45,107.34,106.76,117.34,139.03,144.53,185.19,122.39
braselton,99.7,11,georgia,50.82,65.5,48.46,73.59,58.24,47.91,47.76,73.14,59.67,89.75,43.38,80.79
bremen,71.3,10,georgia,49.54,25.64,40.33,41.79,74.31,69.45,58.25,160.99,63.52,60.32,71.21,12.65
brunswick,97.4,13,georgia,66.58,59.82,75.39,65.26,87.15,89.92,97.42,91.18,89.03,95.57,96.21,96.51
buford,99.8,20,georgia,100.99,107.41,202.71,160.08,134.65,121.43,126.74,189.07,185.05,184.62,184.14,159.14
byron,97,13,georgia,17.84,21.16,19.16,15.26,15.17,21.11,24.76,25.59,22.73,23.68,95.99,21.01
cairo,90.8,10,georgia,30.89,28.89,22.22,26.29,26.32,30.59,39.92,38.6,37.91,38.38,38.94,37.74
calhoun,96.6,14,georgia,51.03,49.78,68.06,64.02,87.19,87.96,49,49.01,46.69,63.82,48.09,43.62
camilla,74.8,8,georgia,35.67,28.4,28.93,22.91,28.91,32.89,41.13,43.84,53.6,35.26,43.08,72.02
canton,99.4,18,georgia,84.85,87.44,112.59,110.32,215.07,227.97,219.97,205.71,157,114.67,117.14,126.57
carrollton,86.5,18,georgia,57.19,51.98,50.21,57.11,64.53,68.22,79.1,70.72,87.49,99.88,118.81,90.56
cartersville,98.5,14,georgia,128.04,87.08,106.23,107.48,111.65,141.53,100.14,106.51,143.07,148.71,158.12,130.21
cedartown,94.8,11,georgia,56.95,61.1,60.61,82.41,63.7,63.05,61.78,78.27,83.35,89.47,102.74,155.44
chatsworth,98.6,12,georgia,51.73,55.22,58.84,73.55,62.31,61.09,78.65,88.05,74.96,91.53,92.5,89.47
chickamauga,97.2,13,georgia,66.02,72.06,70.02,78.17,66.21,96.84,92.6,45.27,60.01,24.37,78.82,66.52
clarkesville,79.5,9,georgia,19.29,15.59,20.55,42.82,13.37,27.38,18.55,26.04,32.94,28.98,24.57,37.87
clarkston,97,13,georgia,68.22,56.84,63.28,95.77,67.38,119.22,118.43,47.91,43.08,39.17,47.82,43.32
claxton,58.5,11,georgia,12.3,40.39,36.85,55.03,99.47,90.77,87.69,123.86,127.51,47.66,102.26,59.43
cleveland,78.8,10,georgia,48.26,33.43,28.47,37.65,45.08,96.89,92.77,71.97,93.16,66.24,63.48,64.88
cochran,43,8,georgia,27.65,19.08,26.95,23.94,41.59,42,42.29,20.59,23.21,32.34,36.98,27.72
columbus,99,21,georgia,89.18,53.31,77.25,83.16,106.18,100.71,87.95,87.1,85.6,88.36,88.42,89.16
commerce,65.6,9,georgia,50.96,32.06,26.06,43.93,51.08,45.8,48.77,47.55,37.6,27.53,45.85,44.2
conley,99.9,10,georgia,61.39,25.14,109.46,103.36,99.63,195.41,75.52,64.84,86.04,115.81,145.78,116.54
conyers,98.2,17,georgia,82.92,77.73,92.67,95.34,80.1,82.04,75.82,67.54,57.02,154.88,140.85,141.01
cordele,86.4,11,georgia,47.84,106.91,73.45,102.89,101.63,104.69,102.53,91.31,74.81,116.99,65.63,48.86
cornelia,57.5,10,georgia,24.82,20.85,22.95,11.76,10.69,23.02,25.52,45.52,15.88,24.93,23.6,21.38
covington,97.1,13,georgia,62.39,64.88,65.98,73.23,116.85,120.95,105.34,65.46,106.38,26.35,108.4,103.41
cumming,99.9,16,georgia,88.42,86.72,105.58,115.53,223.19,124.29,98.92,118.3,171.62,143.2,149.5,142.08
dacula,99.7,13,georgia,76.11,83.04,98.77,109.95,125.11,123.67,160.95,123.11,127.61,166.06,161.83,169.31
